query,config,median_wall_s,wall_spread_s,median_gpu_peak_bytes,gpu_peak_spread_bytes,rows_in_pre,rows_in_post,rows_out_post,feeder_prioritized_median
q5,no_filter,3.994,1.278,53655936058,168160507,0,0,0,0
q5,legacy,4.722,0.8570000000000002,16923238336,3488832,0,1913259365,79497874,47
q5,off,3.528,0.11299999999999999,16922670080,7092256,0,1913259365,79497874,0
q7,no_filter,4.164,0.18799999999999972,20777927107,126588881,0,0,0,0
q7,legacy,5.266,0.5909999999999993,18670809920,339968,0,594860669,47622538,265
q7,off,4.253,0.29600000000000026,18670956864,389632,0,594860669,47622538,0
q8,no_filter,6.693,1.8150000000000004,66172893568,10566016,0,0,0,0
q8,legacy,6.175,1.5149999999999997,68963745344,1222528,0,181717190,36358752,56
q8,off,5.518,0.2030000000000003,68963327680,1601408,0,181717190,36358752,0
q9,no_filter,6.007,2.263,74878328353,3013503013,0,0,0,0
q9,legacy,6.13,1.2480000000000002,20881140064,411946928,0,1799989091,97800441,11
q9,off,5.395,0.22599999999999998,20881014848,417800576,0,1799989091,97800441,0
q21,no_filter,7.491,1.3519999999999994,29622213448,842560,0,0,0,0
q21,legacy,8.384,2.444,29623180280,1407184,0,1802989091,72158533,43
q21,off,7.145,0.2599999999999998,29623177488,788824,0,1802989091,72158533,0
many_join,no_filter,6.56,0.9249999999999998,62479933417,2117255296,0,0,0,0
many_join,legacy,5.373,1.0659999999999998,16925925920,5311440,0,2153258011,82905058,333
many_join,off,4.879,0.16500000000000004,16926202992,5002296,0,2153258011,82905058,0
